Z_i,A total  [Msun^{-1}],A I_classic  [Msun^{-1}],A II_only_stable_MT  [Msun^{-1}],A III_single_core_CE  [Msun^{-1}],A IV_double_core_CE  [Msun^{-1}],A V_other  [Msun^{-1}],B total  [Msun^{-1}],B I_classic  [Msun^{-1}],B II_only_stable_MT  [Msun^{-1}],B III_single_core_CE  [Msun^{-1}],B IV_double_core_CE  [Msun^{-1}],B V_other  [Msun^{-1}],C total  [Msun^{-1}],C I_classic  [Msun^{-1}],C II_only_stable_MT  [Msun^{-1}],C III_single_core_CE  [Msun^{-1}],C IV_double_core_CE  [Msun^{-1}],C V_other  [Msun^{-1}],D total  [Msun^{-1}],D I_classic  [Msun^{-1}],D II_only_stable_MT  [Msun^{-1}],D III_single_core_CE  [Msun^{-1}],D IV_double_core_CE  [Msun^{-1}],D V_other  [Msun^{-1}],E total  [Msun^{-1}],E I_classic  [Msun^{-1}],E II_only_stable_MT  [Msun^{-1}],E III_single_core_CE  [Msun^{-1}],E IV_double_core_CE  [Msun^{-1}],E V_other  [Msun^{-1}],F total  [Msun^{-1}],F I_classic  [Msun^{-1}],F II_only_stable_MT  [Msun^{-1}],F III_single_core_CE  [Msun^{-1}],F IV_double_core_CE  [Msun^{-1}],F V_other  [Msun^{-1}],G total  [Msun^{-1}],G I_classic  [Msun^{-1}],G II_only_stable_MT  [Msun^{-1}],G III_single_core_CE  [Msun^{-1}],G IV_double_core_CE  [Msun^{-1}],G V_other  [Msun^{-1}],H total  [Msun^{-1}],H I_classic  [Msun^{-1}],H II_only_stable_MT  [Msun^{-1}],H III_single_core_CE  [Msun^{-1}],H IV_double_core_CE  [Msun^{-1}],H V_other  [Msun^{-1}],I total  [Msun^{-1}],I I_classic  [Msun^{-1}],I II_only_stable_MT  [Msun^{-1}],I III_single_core_CE  [Msun^{-1}],I IV_double_core_CE  [Msun^{-1}],I V_other  [Msun^{-1}],J total  [Msun^{-1}],J I_classic  [Msun^{-1}],J II_only_stable_MT  [Msun^{-1}],J III_single_core_CE  [Msun^{-1}],J IV_double_core_CE  [Msun^{-1}],J V_other  [Msun^{-1}],K total  [Msun^{-1}],K I_classic  [Msun^{-1}],K II_only_stable_MT  [Msun^{-1}],K III_single_core_CE  [Msun^{-1}],K IV_double_core_CE  [Msun^{-1}],K V_other  [Msun^{-1}],L total  [Msun^{-1}],L I_classic  [Msun^{-1}],L II_only_stable_MT  [Msun^{-1}],L III_single_core_CE  [Msun^{-1}],L IV_double_core_CE  [Msun^{-1}],L V_other  [Msun^{-1}],M total  [Msun^{-1}],M I_classic  [Msun^{-1}],M II_only_stable_MT  [Msun^{-1}],M III_single_core_CE  [Msun^{-1}],M IV_double_core_CE  [Msun^{-1}],M V_other  [Msun^{-1}],N total  [Msun^{-1}],N I_classic  [Msun^{-1}],N II_only_stable_MT  [Msun^{-1}],N III_single_core_CE  [Msun^{-1}],N IV_double_core_CE  [Msun^{-1}],N V_other  [Msun^{-1}],O total  [Msun^{-1}],O I_classic  [Msun^{-1}],O II_only_stable_MT  [Msun^{-1}],O III_single_core_CE  [Msun^{-1}],O IV_double_core_CE  [Msun^{-1}],O V_other  [Msun^{-1}],P total  [Msun^{-1}],P I_classic  [Msun^{-1}],P II_only_stable_MT  [Msun^{-1}],P III_single_core_CE  [Msun^{-1}],P IV_double_core_CE  [Msun^{-1}],P V_other  [Msun^{-1}],Q total  [Msun^{-1}],Q I_classic  [Msun^{-1}],Q II_only_stable_MT  [Msun^{-1}],Q III_single_core_CE  [Msun^{-1}],Q IV_double_core_CE  [Msun^{-1}],Q V_other  [Msun^{-1}],R total  [Msun^{-1}],R I_classic  [Msun^{-1}],R II_only_stable_MT  [Msun^{-1}],R III_single_core_CE  [Msun^{-1}],R IV_double_core_CE  [Msun^{-1}],R V_other  [Msun^{-1}],S total  [Msun^{-1}],S I_classic  [Msun^{-1}],S II_only_stable_MT  [Msun^{-1}],S III_single_core_CE  [Msun^{-1}],S IV_double_core_CE  [Msun^{-1}],S V_other  [Msun^{-1}],T total  [Msun^{-1}],T I_classic  [Msun^{-1}],T II_only_stable_MT  [Msun^{-1}],T III_single_core_CE  [Msun^{-1}],T IV_double_core_CE  [Msun^{-1}],T V_other  [Msun^{-1}]
0_0001,5.974975600840862e-07,0.0,0.0,0.0,5.897115878915667e-07,7.785972192519171e-09,1.2004864131341732e-07,9.298373568743813e-08,0.0,0.0,0.0,2.7064905625979226e-08,1.2813924120560933e-08,0.0,0.0,0.0,0.0,1.2813924120560933e-08,5.412284211603559e-07,0.0,0.0,0.0,4.967580262684179e-07,4.4470394891937976e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.8962228835367994e-07,0.0,0.0,0.0,2.5017916376769446e-07,3.944312458598546e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.451032283736693e-06,3.8177377500342963e-07,0.0,1.016749295276637e-07,4.917757682833848e-06,4.982589637174973e-08,2.5731294054576754e-05,4.363405395000515e-06,0.0,5.827002182373175e-06,1.5398570221995606e-05,1.4231625520746242e-07,5.985620428755941e-07,0.0,0.0,0.0,5.907621994408007e-07,7.799843434793248e-09,4.058839296602188e-07,0.0,0.0,0.0,4.058839296602188e-07,0.0,3.672857019100023e-07,9.29344069459226e-09,0.0,0.0,3.4967388080743275e-07,8.318380407977334e-09,5.647531821280522e-07,0.0,0.0,0.0,5.545955672702503e-07,1.0157614857801828e-08,5.767114937692103e-07,0.0,0.0,0.0,5.684468007701356e-07,8.264692999074709e-09,8.763404650234359e-07,0.0,0.0,0.0,7.057258165024641e-07,1.7061464852097179e-07,3.136825009537312e-06,0.0,0.0,0.0,6.341550102790244e-07,2.502669999258288e-06,5.573183828370287e-07,0.0,0.0,0.0,5.491439079917914e-07,8.174474845237082e-09,5.209425987671886e-07,0.0,0.0,0.0,5.132771367702635e-07,7.665461996925268e-09,4.883114777937214e-07,0.0,0.0,0.0,4.803121040138891e-07,7.999373779832573e-09
0_00011,4.765998562953537e-07,3.325410685951445e-08,0.0,0.0,4.4334574943583926e-07,0.0,1.5568438293431357e-07,1.5568438293431357e-07,0.0,0.0,0.0,0.0,1.4548214720306119e-08,8.883705935475676e-09,0.0,0.0,0.0,5.664508784830444e-09,5.780382777137316e-07,0.0,0.0,0.0,5.498358469042651e-07,2.8202430809466432e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.912366493598926e-07,8.274736062780832e-08,0.0,0.0,1.0848928873208422e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.127397991323512e-06,6.810116569593857e-07,0.0,1.5795908576121515e-07,5.2471954975307225e-06,4.1231751072186694e-08,2.396367417412157e-05,4.465405853721135e-06,0.0,4.923759991918662e-06,1.4438665468280344e-05,1.3584286020142235e-07,4.774489515542367e-07,3.3313351326544474e-08,0.0,0.0,4.441356002276924e-07,0.0,3.960553502820221e-07,3.7615237379418055e-08,0.0,0.0,3.5844011290260403e-07,0.0,5.129169966761074e-07,0.0,0.0,0.0,5.129169966761074e-07,0.0,5.999051416430065e-07,3.281383481022333e-08,8.085858602448519e-09,0.0,5.520169258979388e-07,6.988522332395926e-09,5.114042820555207e-07,1.016549660133834e-08,0.0,0.0,4.78909611231361e-07,2.232917422282148e-08,8.98364241477517e-07,2.140608792226844e-08,0.0,0.0,7.51629971244949e-07,1.253281823102991e-07,3.427622068236349e-06,6.691424021679214e-08,0.0,0.0,6.693789247782653e-07,2.6913289032412916e-06,5.83344954803581e-07,5.2167499494710437e-08,0.0,0.0,5.190532563530615e-07,1.2124198955809135e-08,5.105732146790215e-07,4.127335720882733e-08,0.0,0.0,4.69299857470194e-07,0.0,5.584090427314324e-07,0.0,0.0,0.0,5.584090427314324e-07,0.0
0_00012,5.578145387194411e-07,3.5975515432328096e-08,0.0,0.0,5.218390232871129e-07,0.0,2.485136251265569e-07,2.2636600225844112e-07,0.0,0.0,0.0,2.2147622868115918e-08,5.915412480626688e-08,5.0502340810265934e-08,0.0,0.0,0.0,8.651783996000965e-09,5.726540855423405e-07,0.0,0.0,0.0,5.684922531503835e-07,4.16183239195705e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.4593680034778106e-07,8.359640467426894e-08,0.0,0.0,1.623403956735121e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.931830264662487e-09,0.0,0.0,0.0,7.931830264662487e-09,0.0,6.596926342534737e-06,7.461033440230091e-07,0.0,9.273087791522095e-08,5.6816289696543375e-06,7.646315094216808e-08,2.2468059738923632e-05,4.420687731099447e-06,0.0,4.106486194491496e-06,1.3826583122196e-05,1.1430269113668935e-07,5.588083234927818e-07,3.603960827496323e-08,0.0,0.0,5.227687152178186e-07,0.0,5.251403941054323e-07,8.094215240173656e-08,0.0,0.0,4.4419824170369575e-07,0.0,5.834182324678499e-07,4.1980070819730136e-08,0.0,0.0,5.414381616481196e-07,0.0,6.109880311419694e-07,5.4352244176119684e-08,0.0,0.0,5.566357869658495e-07,0.0,6.67609404882821e-07,7.990359294728283e-08,0.0,0.0,5.877058119355382e-07,0.0,1.0084807500642748e-06,6.300041123112693e-08,0.0,0.0,7.685654478405098e-07,1.7691489099263817e-07,3.739860114689607e-06,1.8996134638887479e-07,0.0,0.0,6.564354405892961e-07,2.893463327711436e-06,6.156619124727222e-07,7.926993542104198e-08,0.0,0.0,5.3639197705168e-07,0.0,6.54434956047758e-07,4.419078368644226e-08,0.0,0.0,6.102441723613158e-07,0.0,6.216526275712836e-07,7.006025627270237e-08,0.0,0.0,5.515923712985811e-07,0.0
0_00014,5.457462932013807e-07,7.169953882943793e-08,0.0,0.0,4.740467543719427e-07,0.0,3.8085565027029216e-07,3.3527258211561683e-07,0.0,0.0,0.0,4.558306815467536e-08,1.1623491418213108e-07,5.4646495774743464e-08,0.0,0.0,0.0,6.158841840738759e-08,6.872017927631311e-07,0.0,0.0,0.0,6.045355306228699e-07,8.266626214026092e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0750614337312444e-07,1.3178313534824867e-07,0.0,0.0,1.7572300802487584e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.311620076573387e-06,9.741355584810073e-07,0.0,1.3384244913446413e-07,6.166889496404602e-06,3.675257255331367e-08,2.0644165036068688e-05,4.503132217658126e-06,0.0,3.3837614932886706e-06,1.2676151463884571e-05,8.111986123733192e-08,5.467185775694715e-07,7.182727646443724e-08,0.0,0.0,4.748913011050342e-07,0.0,4.931833082839406e-07,5.128477011929748e-08,0.0,0.0,4.418985381646432e-07,0.0,5.336422992075363e-07,5.310770310282653e-08,0.0,0.0,4.7099203753223145e-07,9.542558572478407e-09,5.926990185543797e-07,6.033025482547872e-08,6.4673100802430604e-09,0.0,5.259014536486578e-07,0.0,5.288563009801014e-07,4.67221783131541e-08,0.0,0.0,4.682241094765854e-07,1.3910013190362048e-08,1.272509732943279e-06,1.5605077158987686e-07,0.0,0.0,8.595297288853928e-07,2.569292324680093e-07,4.1590319136825006e-06,3.8817239258397756e-07,0.0,0.0,8.335739311836361e-07,2.937285589914887e-06,7.184381623564672e-07,1.0473714221948439e-07,0.0,0.0,6.137010201369828e-07,0.0,6.425384418508003e-07,6.46894190532142e-08,0.0,0.0,5.778490227975861e-07,0.0,6.584633152251583e-07,8.461110061610718e-08,0.0,0.0,5.738522146090511e-07,0.0
0_00016,7.732405101606245e-07,1.286055363515643e-07,0.0,0.0,6.293736691567186e-07,1.5261304652341836e-08,3.81351031720809e-07,3.346945064280088e-07,0.0,0.0,0.0,4.6656525292800235e-08,1.689711751611399e-07,8.265452244689349e-08,0.0,0.0,0.0,8.631665271424644e-08,7.405855422202985e-07,2.4393086253252475e-08,0.0,0.0,6.277720571567616e-07,8.842039881028431e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.744360775176639e-07,1.2646094643246612e-07,0.0,0.0,3.058211555880865e-07,4.21539754971113e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.918712986228203e-06,1.3353702273686978e-06,0.0,1.426694945521511e-07,6.345709643720209e-06,9.496362058714527e-08,1.8937488887737922e-05,4.212360469699615e-06,0.0,2.764071823842144e-06,1.1875390685016682e-05,8.566590917947958e-08,7.746180910442137e-07,1.2883465591536574e-07,0.0,0.0,6.304949414178997e-07,1.528849371094836e-08,6.939686817768764e-07,1.6741637735311804e-07,0.0,0.0,5.16809301395444e-07,9.743003028314292e-09,6.430530560631198e-07,1.7100211425463335e-07,0.0,0.0,4.7205094180848646e-07,0.0,7.927904298049497e-07,1.2704590791982526e-07,5.080812333713226e-09,0.0,6.455874600259798e-07,1.5076249525431305e-08,6.668174387729441e-07,9.407147817044863e-08,0.0,0.0,5.629947009009715e-07,9.751259701523929e-09,1.2020360714186147e-06,1.7098084369649428e-07,0.0,0.0,7.539253705476941e-07,2.7712985717442664e-07,4.444394174673948e-06,6.227144703302402e-07,0.0,0.0,7.917689191964669e-07,3.029910785147241e-06,6.627599463012659e-07,1.0073085453485004e-07,0.0,0.0,5.451341618898882e-07,1.6894929876527648e-08,6.876583231032648e-07,1.3501957333976163e-07,0.0,0.0,5.431572748447905e-07,9.481474918712734e-09,6.798199429882785e-07,4.319354207454754e-08,0.0,0.0,6.269635685558606e-07,9.662832357870376e-09
0_00017,6.2759614510688e-07,6.863870046070071e-08,0.0,0.0,5.497341890760331e-07,9.22325557014622e-09,4.5191460996670226e-07,4.231178385103176e-07,0.0,0.0,0.0,2.879677145638482e-08,2.260525747675239e-07,9.243236621386924e-08,0.0,0.0,0.0,1.3362020855365474e-07,6.4297675657944e-07,0.0,0.0,0.0,5.36318342115029e-07,1.0665841446441094e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.6037562323808914e-07,4.377987259305431e-08,0.0,0.0,7.281151588108994e-08,4.3784234763944883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.630199585392775e-06,1.101551307805133e-06,0.0,4.0315964377717584e-08,6.420411124354468e-06,6.792118885545478e-08,1.834527373354962e-05,4.067469213562227e-06,0.0,2.4843992450822202e-06,1.1688235419353136e-05,1.0516985555203656e-07,6.28714250587326e-07,6.876098500268548e-08,0.0,0.0,5.507135781535262e-07,9.239687431114354e-09,4.975687717683815e-07,9.830726612836663e-08,0.0,0.0,3.7665788869394154e-07,2.2603616946073302e-08,6.195162304504729e-07,1.4748726567404866e-07,0.0,0.0,4.638543873270418e-07,8.174577449382752e-09,5.878108486559558e-07,6.778990903000175e-08,8.1914772017149e-09,0.0,5.027201585247594e-07,9.109303899479609e-09,5.429734423553686e-07,3.478763583322332e-08,0.0,0.0,4.987646625151732e-07,9.421144006971893e-09,9.336559747714759e-07,2.315289629468875e-07,0.0,0.0,6.362408772506674e-07,6.588613457392093e-08,4.611901306773213e-06,7.452865977237869e-07,0.0,0.0,7.190075128597762e-07,3.147607196189651e-06,4.835542906908222e-07,7.697124858674648e-08,0.0,0.0,3.9640591537356963e-07,1.0177126730506259e-08,5.745728938948253e-07,1.0270367442949736e-07,0.0,0.0,4.627656798499023e-07,9.1035396154258e-09,4.532783132477605e-07,0.0,0.0,0.0,4.438400689356093e-07,9.43824431215133e-09
0_00019,7.556748336817924e-07,2.3902588038804197e-07,0.0,0.0,5.013498633161526e-07,1.5299089977597718e-08,4.965930048193056e-07,4.7243194973092117e-07,0.0,0.0,0.0,2.416105508838437e-08,3.1038644765096175e-07,2.066579922475552e-07,0.0,0.0,0.0,1.0372845540340656e-07,4.5861295215245007e-07,0.0,0.0,0.0,3.2644009743233127e-07,1.3217285472011864e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0905443496461443e-07,2.5921206469219657e-07,0.0,0.0,4.984237027241783e-08,0.0,1.853420871135237e-08,1.853420871135237e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.168722163131507e-06,1.3457391531505552e-06,0.0,8.891983214636537e-08,6.643416475122795e-06,9.064670271179148e-08,1.6942378956821013e-05,3.923827763558612e-06,0.0,2.06398196139647e-06,1.0848434081089489e-05,1.0613515077644217e-07,7.570211201106722e-07,2.3945172135107847e-07,0.0,0.0,5.022430524062468e-07,1.532634635334693e-08,4.656204095622565e-07,1.895416123435638e-07,0.0,0.0,2.760787972186927e-07,0.0,7.4743997852335e-07,2.3639273450206838e-07,0.0,0.0,4.849764501255615e-07,2.6070793895720218e-08,8.052430026932449e-07,2.360025213381456e-07,2.123437964026264e-08,0.0,5.097766413839348e-07,3.8229460330902016e-08,6.352435232804833e-07,2.5352148714291267e-07,0.0,0.0,3.817220361375706e-07,0.0,1.0903717589373978e-06,3.705770799770182e-07,0.0,0.0,5.734656529346944e-07,1.4632902602568535e-07,4.614540603590409e-06,8.818798093986229e-07,0.0,0.0,8.09505396142513e-07,2.9231553980492723e-06,6.069263720057585e-07,1.6347456941249578e-07,0.0,0.0,4.4345180259326266e-07,0.0,6.490224303571745e-07,2.177336170116145e-07,0.0,0.0,4.3128881334556025e-07,0.0,7.777910024253074e-07,2.5233404155175226e-07,0.0,0.0,5.254569608735553e-07,0.0
0_00022,1.046134047748299e-06,3.919100052557695e-07,0.0,0.0,6.542240424925295e-07,0.0,9.073940952507281e-07,8.819542897910357e-07,0.0,0.0,0.0,2.5439805459692578e-08,4.012274823791599e-07,3.423720591313841e-07,0.0,0.0,0.0,5.8855423247775804e-08,7.841384108161923e-07,1.96103970910397e-08,0.0,0.0,6.732661022158574e-07,9.12619115092953e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1556402914048414e-06,7.276666949309319e-07,0.0,0.0,3.424056581074953e-07,8.556793836641403e-08,7.430657595871457e-08,7.430657595871457e-08,0.0,0.0,0.0,0.0,1.974015517369404e-07,1.7358152131274384e-07,0.0,0.0,1.6420812424646245e-08,7.399217999550267e-09,9.692871756706806e-06,1.9375725963515708e-06,0.0,1.2842638470900907e-07,7.5283921783655515e-06,9.848059728067108e-08,1.5537065334443788e-05,3.7865916562252304e-06,0.0,1.6494642838568843e-06,9.989568496463562e-06,1.1144089789811185e-07,1.0479978071438719e-06,3.92608219749492e-07,0.0,0.0,6.553895873943801e-07,0.0,9.352872481825301e-07,3.9040163246868683e-07,0.0,0.0,5.373086539989471e-07,7.576961714895996e-09,8.98408394428611e-07,2.213055904587089e-07,0.0,0.0,6.311802049292212e-07,4.592259904068058e-08,1.1276241376673129e-06,3.8083747702485657e-07,2.501088698877562e-08,0.0,7.146288209253485e-07,7.1469527283323795e-09,1.2005120581747794e-06,4.975901392022784e-07,0.0,0.0,7.029219189725015e-07,0.0,1.7840135932225654e-06,5.46296878571809e-07,0.0,0.0,1.1218750705132082e-06,1.1584164413754773e-07,5.4255280233792705e-06,1.5044765628167384e-06,0.0,0.0,1.0369476487689395e-06,2.8841038117935924e-06,1.0956727883302623e-06,4.2182086255623e-07,0.0,0.0,6.738519257740324e-07,0.0,1.186351757713405e-06,4.489488644216629e-07,0.0,0.0,7.37402893291742e-07,0.0,1.0768424188021806e-06,3.2549602491586557e-07,0.0,0.0,7.439615973663156e-07,7.3847965199990584e-09
0_00024,1.4921666015235953e-06,6.234740819047841e-07,0.0,0.0,8.104865980845361e-07,5.8205921534275094e-08,1.4080413844262103e-06,1.3424847377547242e-06,0.0,0.0,0.0,6.555664667148603e-08,5.02380698254005e-07,3.918854140410704e-07,0.0,0.0,0.0,1.104952842129345e-07,1.1257926694614696e-06,8.83938860328148e-08,0.0,0.0,8.960670786921556e-07,1.413317047364991e-07,3.066216519123488e-08,1.0149747735179408e-08,0.0,0.0,2.0512417456055482e-08,0.0,1.1660921721554012e-06,7.983381677452068e-07,0.0,0.0,2.802826658601643e-07,8.747133855002962e-08,3.1283788564754265e-07,3.1283788564754265e-07,0.0,0.0,0.0,0.0,3.730588210056855e-07,3.730588210056855e-07,0.0,0.0,0.0,0.0,1.0646061044200256e-05,2.226151370908773e-06,0.0,1.4844635804529933e-07,8.182792563245445e-06,8.867075200073828e-08,1.4458998800184635e-05,3.7120953016680085e-06,0.0,1.3488904013126527e-06,9.28587515846232e-06,1.1213793874165638e-07,1.4948249984368167e-06,6.245848436475525e-07,0.0,0.0,8.119305354226023e-07,5.8309619366661854e-08,1.2948373006777632e-06,5.843135086231486e-07,0.0,0.0,6.480272958564585e-07,6.249649619815607e-08,1.4487634305345544e-06,5.820752096821946e-07,0.0,0.0,8.389021946538619e-07,2.7786026198497962e-08,1.591395632904526e-06,6.152244800492768e-07,1.6985957719448127e-08,0.0,8.897076000474354e-07,6.947759508836595e-08,1.4426816088368827e-06,5.8868098651598e-07,0.0,0.0,7.910945899475465e-07,6.290603237335581e-08,2.164852751364283e-06,7.520211552792349e-07,0.0,0.0,1.217574983841253e-06,1.9525661224379425e-07,6.049060687780941e-06,1.9907772858348324e-06,0.0,0.0,1.1446035950853352e-06,2.913679806860773e-06,1.4465240014624556e-06,6.119597821261671e-07,0.0,0.0,7.899466781444306e-07,4.461754119185763e-08,1.4262605176415968e-06,5.669474690069757e-07,0.0,0.0,7.405791568368492e-07,1.1873389179777202e-07,1.585964830112184e-06,6.218210651816907e-07,0.0,0.0,8.856259766516221e-07,7.851778827887133e-08
0_00027,1.9247343405479884e-06,9.938379206435689e-07,0.0,0.0,9.041793874917332e-07,2.6717032412686708e-08,1.8969647476765927e-06,1.869129661335757e-06,0.0,0.0,0.0,2.783508634083537e-08,5.97689360615722e-07,5.417240129689321e-07,0.0,0.0,0.0,5.596534764678968e-08,1.099171439828526e-06,8.254220911992798e-08,0.0,0.0,9.547249533463142e-07,6.190427736228357e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.4137255838003247e-06,1.1180932633280994e-06,0.0,0.0,2.956323204722253e-07,0.0,8.448388129266024e-07,8.448388129266024e-07,0.0,0.0,0.0,0.0,5.891351684065502e-07,5.639850232785768e-07,0.0,0.0,0.0,2.5150145127973457e-08,1.208405659520712e-05,2.837443948764682e-06,0.0,2.076904885454888e-07,8.998653515193835e-06,4.026864270311596e-08,1.4127021685556556e-05,3.907767677716768e-06,0.0,1.3132131621879169e-06,8.77318920432777e-06,1.3285164132409654e-07,1.9281633864899497e-06,9.956085109099533e-07,0.0,0.0,9.057902449457549e-07,2.6764630634241737e-08,1.8033680536180041e-06,1.0044240313673356e-06,0.0,0.0,7.726736037783504e-07,2.6270418472318377e-08,1.893365789558714e-06,9.705929818213316e-07,0.0,0.0,8.578336949588761e-07,6.493911277850647e-08,1.9990561261404685e-06,9.604038757063735e-07,0.0,0.0,1.005507330834225e-06,3.314491959986915e-08,1.8904316641479271e-06,8.905017154906606e-07,0.0,0.0,9.640980573378438e-07,3.583189131942219e-08,2.8834496209783415e-06,1.2667101109507512e-06,0.0,0.0,1.3984726399856831e-06,2.182668700419065e-07,6.619476218652434e-06,2.4044887878846744e-06,0.0,0.0,1.3127093923015811e-06,2.902278038466179e-06,1.873666886224701e-06,8.090181324298647e-07,0.0,0.0,9.874460134737574e-07,7.720274032107905e-08,1.9729904021893425e-06,9.464536497721262e-07,0.0,0.0,9.800789922821735e-07,4.645776013504284e-08,1.9630530797858294e-06,9.353115638237744e-07,0.0,0.0,9.613339168190872e-07,6.640759914296836e-08
